x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21,group22,group23,group24,group25,group26
1,3,789.4983277592,789.4983277592,48406215713.621,924850255559.79,10508188514678,11660961538560,9900993308977.5,9509508286763.8,4003879140284.5,3957783599800.3,5167938876307.2,3754415727621.3,3599715803697.8,3384157183648.8,3077097392166.4,1936613747055.9,1735655564311.9,2555438552760.7,2141676170000.5,2527229749526.8,2693176457279.4,3349454373519.6,3703290823611.4,2473263021607.1,1826493831104.2,1320018875548.5,209617423492.44,60531288829.321
1,3,793.08695652174,793.08695652174,48212372806.927,921146677479.08,10466108060744,11614264366463,9861343717530.4,9471426129541.2,3987844991197.4,3941933993905,5147242908246.4,3739380424051,3585299977964.2,3370604561456.2,3064774417031.6,1928858092797.1,1728704680950.1,2545204590050.9,2133099198117,2517108656068.5,2682390677186.1,3336040128453.3,3688459365624.3,2463357704798.1,1819178779287.5,1314732232010.9,208777910147.22,60288862483.822
1,3,796.67558528428,796.67558528428,48015029874.897,917376229814.12,10423267864525,11566724172485,9820978395817,9432656584725,3971521431286.2,3925798314123.9,5126173399100.5,3724073749956.7,3570623961890,3356807326247,3052229018892,1920962450871.4,1721628333562.8,2534785895826.2,2124367398185,2506804849979.1,2671410173134.1,3322383696655.2,3673360132079.2,2453273552564.9,1811731658742.4,1309350141921.7,207923240033.82,60042059304.096
1,3,800.26421404682,800.26421404682,47815667380.922,913567197494.89,10379989286734,11518697543484,9780200088062.1,9393490407972.8,3955030877416.3,3909497565842.7,5104888351697.6,3708610491400.9,3555797812471.3,3342868946019.6,3039555279671.2,1912986034169.1,1714479591736.3,2524260609019.6,2115546260375.5,2496395616231,2660317310724.9,3308587519838.1,3658106388416.6,2443086209873.9,1804208332755.2,1303912977881.7,207059824260.23,59792730631.838
1,3,803.85284280936,803.85284280936,47613982872.904,909713802741.57,10336206688489,11470111671577,9738946992600.4,9353868236188.9,3938348332613.7,3893007035159.3,5083355482706.4,3692967186496,3540799024942.7,3328768253497.9,3026733942801.6,1904916718739.3,1707247585785.6,2513612716025.9,2106622356985,2485865101853.8,2649095194517.8,3294630598609.7,3642674933950.3,2432780189695.7,1796597367857.3,1298412478622.6,206186351085.64,59540497634.783
1,3,807.44147157191,807.44147157191,47409148477.08,905800228899.11,10291740370055,11420767168426,9697049832124.4,9313627492268,3921405345847.3,3876259058456,5061486435645.6,3677079642844.5,3525566048185.5,3314447379053.4,3013712384906,1896721383154.9,1699902629334.1,2502798503739.7,2097559048731,2475170066346.4,2637697741317.1,3280455622343.3,3627002408981.2,2422313179634.2,1788867517917.6,1292826063072.4,205299234718.45,59284324826.386
1,3,811.03010033445,811.03010033445,47203150827.471,901864430784.23,10247021541905,11371142487679,9654914791228.4,9273158248185.6,3904366143986.1,3859415963980.7,5039493162674.8,3661101835902.8,3510246511181.1,3300045111474.4,3000616803879.5,1888479453327.8,1692515908157.4,2491922787100.3,2088444186011.7,2464414187692.7,2626235456213.5,3266200050139.5,3611240810653.6,2411786696727,1781093754483.6,1287207914251.8,204407079403.17,59026696844.84
1,3,814.61872909699,814.61872909699,46992895727.614,897847292951.91,10201378540909,11320492371048,9611909119978.6,9231852705023.1,3886974799725.4,3842224743251.6,5017045229131.8,3644793669865.9,3494610168032.5,3285344949123.1,2987250301922.5,1880066990919.7,1684976330191.2,2480821967626.4,2079140636546.4,2453435626188.5,2614535889611.6,3251649500865.3,3595153208321.2,2401042546200.6,1773159269872.7,1281473623260.1,203496481791.71,58763743002.878
1,3,818.20735785953,818.20735785953,46782614684.055,893829659409.84,10155729906524,11269836002173,9568898138447.4,9190542058478.3,3869581306080.2,3825031397136.3,4994594518888.3,3628483485796.8,3478971889241.1,3270642966357,2973882144167.5,1871653486188.4,1677435817900.9,2469719772244.5,2069835933860.3,2442455704050.2,2602834874134.2,3237097152272.8,3579063618933.6,2390297069493.7,1765223806260.7,1275738624909.1,202585771865.73,58500756724.009
1,3,821.79598662207,821.79598662207,46566995886.363,889710036692.24,10108922237640,11217893273263,9524794599754,9148181422954.9,3851745590049.3,3807400766115.9,4971572519912.2,3611758104257.1,3462935364060.1,3255566444646.2,2960173316315,1863025530006.8,1669703074262.3,2458334492380.9,2060293963221.3,2431195839966.5,2590835761596,3222174605206.3,3562565205396.1,2379278739450.4,1757086919324.3,1269858091809.6,201651953930.66,58231096754.599
