x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,398.33779264214,398.33779264214,1074743671863.6,24520543962290,10938414183741,14936216273538,4372567474455.9,5709650035304.2,4147854746333.9,3976937277904.3,3738796758806.2,3399549175045.6,2139545016374.5,4740721349744.1,2366105178991.3,2791973498076.9,2974269291170.5,3695173657818.4,6818861995360.5,2020048148365.8,1459354002005.4,231685869200.68,66874883623.039
1,3,401.92642140468,401.92642140468,1076749987276.3,24566317500852,10958833096376,14964097400686,4380729608534,5720307977279.8,4155597312662.6,3984360760906.3,3745775682417.4,3405894817059.8,2143538703349,4749570329973.2,2370521702084.1,2797184901095.8,2979820900598.1,3702070766439.5,6831589375886.3,2023818541734.5,1462077861407.2,232118306460.02,66999704406.137
1,3,405.51505016722,405.51505016722,1078756302689.1,24612091039413,10979252009010,14991978527835,4388891742612.1,5730965919255.4,4163339878991.2,3991784243908.3,3752754606028.6,3412240459074,2147532390323.5,4758419310202.4,2374938225176.9,2802396304114.7,2985372510025.7,3708967875060.6,6844316756412.2,2027588935103.1,1464801720808.9,232550743719.36,67124525189.235
1,3,409.10367892977,409.10367892977,1080653453556.9,24655373938804,10998559861554,15018342509560,4396609732323.5,5741043900650.3,4170661123916.4,3998803765664.4,3759353756902.7,3418240787075.1,2151308749654.6,4766786742508.2,2379114406044.5,2807324105611.1,2990621999457.8,3715489633461.7,6856351483768.6,2031154133595.5,1467377340085.5,232959646486.5,67242552868.961
1,3,412.69230769231,412.69230769231,1082540102064.6,24698417222030,11017760822677,15044560531738,4404284992373,5751066085954.2,4177941834901.6,4005784423643.9,3765916371096.6,3424207893556,2155064200611.3,4775107846679.5,2383267464380.8,2812224622742.2,2995842422923.5,3721975280658.3,6868319573252.2,2034699590966.7,1469938697669.4,233366285077.91,67359927006.659
1,3,416.28093645485,416.28093645485,1084342324624.5,24739534289638,11036102510165,15069605221879,4411616759487.4,5760639740697.2,4184896703919.6,4012452665719.7,3772185276358.7,3429907940857.2,2158651574590.3,4783056531142,2387234646780.9,2816905808074.8,3000829192865.9,3728170639703.7,6879751979098.6,2038086354844.8,1472385409377,233754722574.15,67472047497.324
1,3,419.86956521739,419.86956521739,1086108790259.6,24779835547076,11054080269459,15094152970660,4418803047026.6,5770023429275.7,4191713569077.5,4018988590276.5,3778329787066.3,3435494880574.4,2162167762920.9,4790847484671.9,2391123105139.1,2821494099802.9,3005717003523.2,3734243052997.9,6890957506834.7,2041405907262,1474783565112.5,234135451359.89,67581942910.673
1,3,423.45819397993,423.45819397993,1087815798918.7,24818780267946,11071452885876,15117874401583,4425747430063.6,5779091240789.8,4198300960487.8,4025304496405.1,3784267453734.7,3440893744325.7,2165565583341.8,4798376162335.9,2394880660744.8,2825927927599.8,3010440264255.4,3740111031627.9,6901785780898.1,2044613700263,1477100981842.6,234503362080.92,67688138459.315
1,3,427.04682274247,427.04682274247,1089461593961.8,24856328373751,11088202480636,15140745101315,4432442761596.6,5787833842739,4204652098412.2,4031393883721.8,3789992165213.9,3446098975458.6,2168841538705.8,4805634815266,2398503446112.2,2830202727871.4,3014994113480.4,3745768535627.9,6912225655433.3,2047706431946.7,1479335274155.7,234858076031.03,67790524831.771
1,3,430.63545150502,430.63545150502,1091073113659.2,24893094473237,11104603227174,15163139451781,4438998641933,5796394350410.7,4210870951170.4,4037356436616.8,3795597636952.7,3451195786130.5,2172049258333,4812742273648.5,2402050769794.2,2834388484133.4,3019453104427.6,3751308188985.9,6922448054281.5,2050734737620.9,1481523022819.1,235205400746.27,67890778341.639
