x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18
1,3,168.66555183946,168.66555183946,1213444125810.4,25213147922395,10412697151823,13328250802810,3837849007291.9,4934773078930,3546129744712.6,6498629322565.6,2817456131563,1781939995556,3991417908135.7,5913855210383.8,15624195497061,10055169666757,2141009449879.1,1398782327167,211552223356.97,64720961356.782
1,3,172.25418060201,172.25418060201,1220360494435.9,25871713581159,10902871566189,14084086058039,4061090968502.3,5218768846395.3,3748218528992.9,6848473839419,2961347387367.3,1864691526607.7,4135038753790.7,5854984503485.4,14219656323478,8962547079485.9,1890994846294.2,1232258768772.2,187286345541.29,57911456575.228
1,3,175.84280936455,175.84280936455,1227276863061.3,26530279239924,11393045980555,14839921313267,4284332929712.7,5502764613860.5,3950307313273.2,7198318356272.4,3105238643171.6,1947443057659.4,4278659599445.7,5796113796586.9,12815117149895,7869924492214.4,1640980242709.2,1065735210377.3,163020467725.62,51101951793.673
1,3,179.43143812709,179.43143812709,1210960863712.9,26545181869088,11526157197189,15181756712136,4395737410495.9,5661684219764.7,4070644007162.9,7429050858669.2,3206137372110.5,2010932663970.4,4405902134383.9,5787491778987.9,12282973487932,7465143460598.2,1551229625128.9,1005843764023.2,153688162892.89,48112217114.505
1,3,183.02006688963,183.02006688963,1194533038496.5,26556986313123,11657549738308,15521599378566,4506603576659.7,5820001788444.5,4190587198398.1,7659210031459,3306829162323.3,2074329555606,4533065834533.8,5779111626673.7,11755028984034,7063673261484.4,1462250416617.3,946465576950.09,144427738798.39,45140868383.238
1,3,186.60869565217,186.60869565217,1180772571761.1,26480657252827,11689014691649,15679994647214,4562357565960.4,5906663899625.8,4259845271472.1,7803408481214.8,3372261021795.8,2116571267265.6,4624416339532.2,5798057176304.9,11508781347487,6870031113552.4,1418920552823.2,917530321530.57,139962934406.21,43747803577.107
1,3,190.19732441472,190.19732441472,1167740700044.4,26380254325930,11693184197745,15788827147624,4603057539153.1,5973753160072.4,4315258589563.3,7924126564509.7,3428061551214.8,2153034393533.4,4705984389048.4,5824466803398.8,11339479849164,6733157669167.5,1388059911074.3,896910621938.66,136808064412.48,42785850604.773
1,3,193.78595317726,193.78595317726,1158157807993,26291424544619,11681834548311,15843568621448,4625396588808.1,6013601107905.3,4349625664365.5,8004049732452.7,3465995440340.2,2178257160607,4764737723430.4,5850329100417,11245058743068,6653106171343.8,1369820293821.3,884673138895.84,134930862104.83,42210374465.169
1,3,197.3745819398,197.3745819398,1151116927633,26211124553055,11659046769741,15858443225843,4634203032641.3,6033371310470.6,4368480964181.2,8053905703184.3,3490761026686,2195195412473,4806675860787.2,5875787997129.3,11205826954095,6614934320982.1,1360882787609.9,878613625726.85,133995342993.65,41919744489.533
1,3,200.96321070234,200.96321070234,1145472734567.1,26142918554826,11637250843465,15863371947852,4639077352302.8,6046297862406.4,4381514864728.8,8090643778793.8,3509397571321.4,2208106183736.4,4839502418079.3,5897295324492.2,11180257232778,6588355525318,1354580826469.4,874322469337.54,133332366391.06,41714316001.006
1,3,204.55183946488,204.55183946488,1142248600588.5,26095667983479,11617173513162,15851067304063,4637138426885.2,6047366327736.3,4384461947520,8104652298956.1,3517414241952.7,2214038484535.1,4856541216560.6,5911955713852.2,11178359962066,6581864173340.3,1352845510149.9,873095368812.38,133141627903.13,41656517289.008
1,3,208.14046822742,208.14046822742,1139306158572.3,26051663131761,11598146346135,15838282272811,4634864722136.1,6047615832363.5,4386598851507.5,8116413862807.5,3524297205397.5,2219188334522.8,4871607647504.7,5925195254109.3,11177285449160,6576465753529.2,1351379194531.9,872053604122.22,132979534821.28,41607458209.664
1,3,211.72909698997,211.72909698997,1137885673451.4,26025194617711,11584793118917,15822901750355,4630782234105.5,6043440564348.5,4384358430679.8,8116035319349.6,3525054848632.6,2220110671601.5,4876017550131.1,5930758071638.6,11180656224314,6576972350081.7,1351366266043.8,872013192646.83,132972210348.85,41605618596.821
1,3,215.31772575251,215.31772575251,1136465188330.5,25998726103661,11571439891700,15807521227899,4626699746075,6039265296333.6,4382118009852.1,8115656775891.6,3525812491867.8,2221033008680.2,4880427452757.6,5936320889167.9,11184026999467,6577478946634.2,1351353337555.6,871972781171.43,132964885876.42,41603778983.978
1,3,218.90635451505,218.90635451505,1135686073424.8,25981248729904,11562309561732,15794614603555,4622952841960,6034624371075.3,4378971186753,8111224645756.2,3524260358418.5,2220246017750.4,4879880772881.7,5936921522470.3,11184717318843,6577653929564.2,1351366225221.4,871974310165.87,132964858512.79,41603892306.83
1,3,222.49498327759,222.49498327759,1134943267736.9,25964280362119,11553418298207,15781848031403,4619224935904.5,6029957084053.1,4375773050455,8106563034179.9,3522577464010.1,2219362258431.1,4879053491211.7,5937241236854,11185255892394,6577810139200.9,1351380574390,871978213492.04,132965244252.71,41604116189.177
1,3,226.08361204013,226.08361204013,1134336830861.7,25949707643348,11546050529594,15770890694778,4615968312882.8,6025711727722.5,4372738855044.9,8101459953016.6,3520514744592.5,2218146681212,4876977846230.9,5935793239245.6,11183442051700,6576809882976.9,1351176132699.8,871846167738.62,132945088815.7,41597825132.128
1,3,229.67224080268,229.67224080268,1133779141990,25935991301512,11539227367431,15760580108811,4612880160249.9,6021617199710.6,4369763263877.1,8096199058930.8,3518316248449.7,2216812488455,4874455946585.6,5933713334471.1,11180787289279,6575396222834.1,1350893479450.1,871665524024.65,132917590487.45,41589205168.045
1,3,233.26086956522,233.26086956522,1133228594011.7,25922585559292,11532765019741,15750951098126,4609999798179,6017782791508.9,4366958591192,8091098536158.6,3516142531178.4,2215470026786.3,4871754433208.4,5931162118886.7,11177093547021,6573368765233.4,1350485472958.9,871404297502.31,132877818802.91,41576737899.134
1,3,236.84949832776,236.84949832776,1132684457643.2,25909458695829,11526626637331,15741934054933,4607306005475.2,6014181937650.8,4364307381459.2,8086142006329,3513991062166.5,2214120140691.8,4868891649656.3,5928187726433.4,11172466933664,6570790195964.9,1349964915278.4,871070717917.36,132827027213.09,41560816242.212
1,3,240.4381270903,240.4381270903,1132131396506.1,25896242311533,11520513460625,15733058415557,4604661955909.8,6010656278612.5,4361713952677.1,8081281103452.7,3511875781073.5,2212789599309.7,4866039005358.7,5925128762490.1,11167532853079,6568011402575.9,1349402071757.3,870709577019.07,132772024438.47,41543579986.739
1,3,244.02675585284,244.02675585284,1131559119448.2,25882833179913,11514454554327,15724487232770,4602125008305.9,6007292521555.7,4359244932072.1,8076626094989.1,3509838416195.8,2211500709031.9,4863208191892.1,5921887707654.1,11161936764745,6564801506591.9,1348748182583.9,870289093851.38,132707954561.02,41523513268.855
1,3,247.61538461538,247.61538461538,1130983722224.1,25869375272169,11508382280775,15715918088626,4599590482400.9,6003934965034.1,4356781902827.5,8071985169707.9,3507807497874.5,2210215900790.7,4860384153736.1,5918639432107.7,11156294445619,6561559502938.8,1348087370711.2,869864060850.9,132643188162.66,41503229701.503
1,3,251.20401337793,251.20401337793,1130382390768.5,25855511946482,11502198901131,15707365889292,4597076085199.5,6000628946190.2,4354368672639.4,8067461301178.5,3505830162112.2,2208965021666,4857616430682.1,5915331139380.4,11150267864869,6558050626404.3,1347369018668.7,869401210499.41,132572632413.98,41481143722.32
1,3,254.79264214047,254.79264214047,1129781059312.9,25841648620795,11496015521488,15698813689957,4594561687998.2,5997322927346.2,4351955442451.4,8062937432649.1,3503852826349.8,2207714142541.2,4854848707628,5912022846653.2,11144241284120,6554541749869.8,1346650666626.1,868938360147.93,132502076665.3,41459057743.138
1,3,258.38127090301,258.38127090301,1129159614418.6,25827404411366,11489681628423,15690128605793,4592015585635.1,5993989383797.7,4349529989404.6,8058415781086.7,3501881340386.6,2206468895082.4,4852096466717.7,5908685849245.5,11138030418496,6550903308641.2,1345904218375.3,868456996483.26,132428684884.41,41436089689.35
1,3,261.96989966555,261.96989966555,1128535875761.9,25813116765468,11483330570615,15681428367273,4589465867574.7,5990652701296.6,4347103142447.4,8053894382350.2,3499910521541.9,2205224289866,4849345991411,5905345578319.3,11131798536788,6547250091689,1345154565997,867973521536.64,132354969678.78,41413021042.645
1,3,265.55852842809,265.55852842809,1127900217396.5,25798574570078,11476867464884,15672593372442,4586878729088.2,5987271629360.8,4344646819182,8049329275787.6,3497923159902.6,2203970367983.7,4846579446095.2,5901976363251.4,11125474833395,6543536341951.1,1344392001685.2,867481589202.51,132279960483.03,41389549324.417
1,3,269.14715719064,269.14715719064,1127259150436.5,25783916872283,11470353517156,15663697231632,4584274610999.2,5983870415619,4342177120975.4,8044744336700.6,3495928291933,2202712218643.2,4843805608976.7,5898594014714.1,11119109465705,6539795125325.4,1343623578554.4,866985819309.73,132204364136.36,41365894711.577
1,3,272.73578595318,272.73578595318,1126611034072.1,25769099353888,11463767247338,15654704823958,4581642677265.6,5980433880914,4339682471716.5,8040116469953.2,3493915579751,2201443217543.3,4841009932411.1,5895184794432.8,11112686556076,6536018697919.7,1342847815265.3,866485284352.86,132128040157.65,41342012862.332
1,3,276.32441471572,276.32441471572,1125955223026.4,25754107385490,11457102035326,15645607337497,4578980381743.7,5976958792092.2,4337160587475.9,8035441746102.1,3491883389961.7,2200162371353,4838190417294,5891746242664.9,11106200837327,6532203836666.5,1342064039926.1,865979548155.12,132050921942.09,41317882976.281
1,3,279.91304347826,279.91304347826,1125295727386.2,25739030361224,11450398376429,15636457099187,4576302655063.3,5973463660759.3,4334624252020.9,8030740867980.5,3489840003034.1,2198874557009.1,4835356122163.9,5888290245976.3,11099681974877,6528369368038.7,1341276225171,865471202274.51,131973405660.54,41293628593.259
1,3,283.5016722408,283.5016722408,1124626186283.8,25723721445625,11443589898195,15627163041324,4573582857776.8,5969913886699.2,4332048517621.8,8025968684389.2,3487766088884.8,2197567745099.7,4832481531672.7,5884786688478.8,11093072751382,6524481443014.3,1340477397589,864955741507.55,131894804115.24,41269034788.995
